source_row,term,source_annotation,part_of_speech,source_comment,engine_tier,default_weight,standalone_flag,interpretation,source
47,apologizes,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
48,approach,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
55,assess,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
56,assessed,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
57,assessing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
58,assessments,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
60,attains,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
62,attributed,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
63,augmenting,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
67,avenue,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
68,avenues,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
69,background,content/style,noun,can be both,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
71,based,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
73,between,style,preposition,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
81,bolster,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
82,bolstered,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
83,bolstering,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
86,both,style,pronoun/adverb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
88,broader,style,adjective,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
90,burgeoning,style,verb,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
92,capabilities,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
93,capitalizing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
96,categorized,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
97,categorizes,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
98,categorizing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
105,challenge,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
106,challenges,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
119,closures,content/style,noun,"used in many contexts, like businesses",corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
124,combating,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
126,commendable,style,adjective,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
127,compelling,style,adjective,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
128,complex,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
129,complexities,content/style,noun,"complexity can be a term as in computational complexity, or a general term",corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
130,complicates,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
131,complicating,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
132,comprehend,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
133,comprehending,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
135,comprehensive,style,adjective,,context_sensitive_cluster_marker,0.4,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
136,comprising,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
137,concurrently,content/style,adverb,"in principle style, but often used in a specific context (concurrency of disease symptoms or medications)",corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
139,conditions,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
140,conducted,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
143,consequently,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
144,consolidates,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
151,contributing,style,verb,contributing factors ,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
154,conversely,style,adverb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
164,correlating,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
168,crafted,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
169,crafting,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
173,crucial,style,adjective,,context_sensitive_cluster_marker,0.4,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
175,culminating,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
177,customizing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
181,declare,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
182,declared,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
184,deductively,style,adverb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
185,deeper,content/style,adjective,can potentially refer to deep learning / deep networks,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
187,delineates,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
190,delve,style,verb,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
191,delved,style,verb,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
192,delves,style,verb,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
193,delving,style,verb,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
194,demonstrated,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
195,demonstrates,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
196,demonstrating,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
197,dependability,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
198,dependable,style,adjective,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
200,despite,style,preposition,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
201,detailing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
202,detrimentally,style,adverb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
204,diminishes,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
205,diminishing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
206,discern,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
207,discerned,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
208,discernible,style,adjective,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
209,discerning,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
211,displaying,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
212,disrupts,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
214,distinct,style,adjective,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
215,distinctions,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
216,distinctive,style,adjective,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
217,diverse,style,adjective,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
221,during,style,preposition,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
223,easing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
229,effectively,style,adverb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
230,efficacy,style/count,noun,can refer to vaccine efficacy,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
235,elevate,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
236,elevated,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
237,elevates,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
238,elevating,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
239,elucidate,style,verb,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
240,elucidates,style,verb,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
241,elucidating,style,verb,,high_cluster_marker,1.0,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
243,embracing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
244,emerged,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
246,emerges,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
248,emphasises,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
249,emphasising,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
250,emphasize,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
251,emphasizes,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
252,emphasizing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
253,employed,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
254,employing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
255,employs,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
256,empowers,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
257,emulating,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
258,emulation,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
259,enabling,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
260,encapsulates,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
262,encompass,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
263,encompassed,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
264,encompasses,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
265,encompassing,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
267,endangering,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
268,endeavors,style,noun,"""research endeavors""",corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
269,endeavours,style,noun,BE version,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
271,enduring,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
272,enhance,style,verb,,context_sensitive_cluster_marker,0.4,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
273,enhanced,style,verb,,context_sensitive_cluster_marker,0.4,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
274,enhancements,style,nount,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
275,enhances,style,verb,,context_sensitive_cluster_marker,0.4,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
276,enhancing,style,verb,,context_sensitive_cluster_marker,0.4,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
277,ensuring,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
284,equipping,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
285,escalating,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
286,essentials,style,noun,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
287,evaluates,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
289,evolving,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
290,exacerbating,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
291,examines,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
292,exceeding,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
293,excels,style,verb,,corpus_monitoring_only,0.1,False,Corpus-associated marker only; never infer authorship from this term alone.,"Kobak et al., Science Advances 2025, supplementary repository excess_words.csv"
