rule_id,name,family,dimension,evidence_tier,association,severity,status,detector_kind,sections,rationale,revision
SCI-RHET-002,Enumerative scaffolding,rhetoric_rhythm,style_pattern_burden,C,heuristic,low,implemented,regex,*,"Enumeration is useful when the argument genuinely has ordered parts, but compulsive numbered scaffolds can substitute form for judgement.","Keep the list only when each item is distinct, necessary, and ordered."
SCI-RHET-003,Triadic synonym list,rhetoric_rhythm,style_pattern_burden,C,heuristic,low,implemented,regex,*,Three near-synonyms often create the appearance of coverage without adding distinctions.,Collapse synonyms or define how the three outcomes differ.
SCI-RHET-004,Unusually regular sentence length,rhetoric_rhythm,style_pattern_burden,C,heuristic,low,implemented,sentence_length_regularity,*,"Very low variation in sentence length can produce mechanical rhythm, but it is weak evidence by itself.",Vary sentence structure only where argument structure benefits; do not manufacture variation.
SCI-RHET-005,Unusually regular paragraph length,rhetoric_rhythm,style_pattern_burden,C,heuristic,low,implemented,paragraph_length_regularity,*,Paragraphs of nearly identical length can signal template filling rather than idea-led development.,Let paragraph length follow the claim and evidence rather than a visual template.
SCI-SYN-001,Nominalization density,syntax,style_pattern_burden,A,llm_associated,low,implemented,nominalization_density,*,"Instruction-tuned models have shown higher nominalization rates, but nominalizations are also normal in scientific registers.","Convert only unnecessary abstract nouns into verbs, especially where agency or causal sequence is obscured."
SCI-SYN-002,Sentence-initial participial-clause density,syntax,style_pattern_burden,A,llm_associated,low,implemented,participial_clause_density,*,LLM prose can overuse sentence-initial present-participial clauses such as “Building on…” or “Highlighting…”.,"Check whether the participial clause has an explicit, unambiguous subject; rewrite when it creates a dangling modifier or repetitive cadence."
SCI-SYN-003,“That”-clause as sentence subject,syntax,style_pattern_burden,A,llm_associated,low,implemented,that_subject_density,*,Instruction-tuned LLMs have been reported to favor clauses beginning “That X …” as subjects.,Revise only when the construction becomes repetitive or obscures the actor.
SCI-SYN-004,Noun-stack overload proxy,syntax,scientific_quality_risk,B,quality,medium,implemented,regex,*,Long noun strings force readers to infer relationships among modifiers.,"Insert prepositions, verbs, or a short definition that states how the concepts relate."
SCI-EPI-001,Redundant hedge pair,epistemic_calibration,scientific_quality_risk,B,quality,medium,implemented,regex,*,Two uncertainty markers express one epistemic operation and dilute the claim.,Retain the single hedge that best matches the design and uncertainty.
SCI-EPI-002,Hedge stack,epistemic_calibration,scientific_quality_risk,B,quality,medium,implemented,hedge_stack,*,Several distinct hedges in one short span make the degree and source of uncertainty unclear.,"State the claim once, then locate uncertainty in the estimate, design limitation, or explicit assumption."
SCI-EPI-003,Certainty inflation,epistemic_calibration,scientific_quality_risk,B,quality,high,implemented,regex,*,"Certainty is asserted rhetorically rather than tied to design, estimate, or sensitivity analysis.",Replace the intensifier with the precise evidential claim and its boundary conditions.
SCI-EPI-004,Deontic or importance inflation,epistemic_calibration,scientific_quality_risk,B,quality,medium,implemented,regex,*,Normative force is asserted without specifying the decision consequence or opportunity cost.,"Name the decision, actor, expected benefit, trade-off, and evidential basis."
SCI-EPI-005,Unspecified consensus attribution,epistemic_calibration,scientific_quality_risk,B,quality,medium,implemented,regex,*,An unnamed consensus is not a source.,Cite the relevant evidence or state the proposition directly with appropriate qualification.
SCI-EPI-006,False-balance scaffold,epistemic_calibration,scientific_quality_risk,C,heuristic,low,implemented,regex,*,A symmetrical scaffold can imply evidential parity where none has been established.,"Compare the claims using explicit criteria: design strength, directness, precision, consistency, and relevance."
SCI-SPEC-001,Result claim without numeric anchor,specificity,scientific_quality_risk,B,quality,high,implemented,results_claim_without_number,results,A Results sentence reports direction or significance but omits magnitude.,"Add the estimate, comparator, denominator where relevant, and uncertainty interval."
SCI-SPEC-002,Effect estimate without uncertainty,specificity,scientific_quality_risk,B,quality,medium,implemented,results_number_without_uncertainty,results|abstract,A numerical effect without uncertainty can overstate precision.,"Report the confidence or credible interval, standard error, or another design-appropriate uncertainty measure."
SCI-SPEC-003,Vague carrier noun,specificity,scientific_quality_risk,B,quality,medium,implemented,regex,*,"A carrier noun points backward without naming the result, making the claim portable across studies.","Replace the vague noun with the specific exposure, outcome, estimate, subgroup, or mechanism."
SCI-SPEC-004,Generic recommendation without actor and action,specificity,scientific_quality_risk,B,quality,high,implemented,regex,*,"The recommendation provides no accountable actor, operational action, threshold, or setting.","Specify the responsible actor, action, target population, timing, condition, and trade-off."
SCI-SPEC-005,Interpretive claim without empirical or mechanistic anchor,specificity,scientific_quality_risk,B,quality,medium,implemented,generic_claim_without_anchor,discussion|conclusion|abstract,"The sentence interprets evidence but contains no estimate, source, mechanism, or named object that makes the interpretation testable.",Attach the interpretation to the exact result or mechanism and state its limit.
SCI-SPEC-006,Conclusion without empirical anchor,specificity,scientific_quality_risk,B,quality,high,implemented,section_anchor_deficit,conclusion,A conclusion that contains only significance language is detached from the study’s evidence.,Carry forward at least one concrete result and one bounded implication.
SCI-CAUS-001,Causal language–design mismatch,causal_alignment,scientific_quality_risk,B,quality,high,implemented,causal_design_mismatch,*,"Causal verbs require an identification strategy, not only statistical adjustment.","Use associational language or state the causal estimand, assumptions, design, and sensitivity analyses."
SCI-CAUS-002,Unbounded generalization,causal_alignment,scientific_quality_risk,B,quality,medium,implemented,regex,*,Transport beyond the sampled population is asserted without a target population or effect-modifier assessment.,"Name the target population and justify transport using measured effect modifiers, sampling, or external evidence."
SCI-CAUS-003,Statistical-to-clinical significance leap,causal_alignment,scientific_quality_risk,B,quality,high,implemented,regex,*,A p-value does not establish clinical importance.,Report absolute magnitude and compare it with a prespecified clinical threshold or decision model.
SCI-CAUS-004,Mechanism claim without mediator evidence,causal_alignment,scientific_quality_risk,B,quality,high,semantic,semantic_check,*,A proposed mechanism should distinguish plausibility from measured mediation or intervention evidence.,"Label the mechanism as hypothesized unless mediator timing, confounding control, and pathway evidence support it."
SCI-CAUS-005,Policy claim beyond the estimand,causal_alignment,scientific_quality_risk,B,quality,high,semantic,semantic_check,*,A study effect does not automatically identify the optimal policy.,"Separate the estimated contrast from implementation, costs, harms, feasibility, and distributional consequences."
SCI-METH-001,Vague “standard methods” claim,methods_quality,scientific_quality_risk,B,quality,high,implemented,regex,methods,A reproducibility claim replaces the details needed to reproduce the analysis.,"Name the model, estimand, variables, software/version, tuning or thresholds, missing-data handling, and uncertainty procedure."
SCI-METH-002,Self-congratulatory method description,methods_quality,scientific_quality_risk,B,quality,medium,implemented,regex,methods|abstract,"Method quality should be demonstrated by design and reporting, not asserted by praise adjectives.",Delete the adjective and state the design feature that improves validity or reproducibility.
SCI-METH-003,Method name-dropping without operational detail,methods_quality,scientific_quality_risk,B,quality,high,semantic,semantic_check,*,Listing sophisticated methods without specifications creates an appearance of rigor without reproducibility.,"For each method, report the target quantity, inputs, assumptions, implementation choices, diagnostics, and uncertainty."
SCI-RES-001,“Significant” without statistical support,results_quality,scientific_quality_risk,B,quality,high,implemented,significant_without_support,results|abstract,The word significant is ambiguous unless statistical or practical significance is explicitly established.,Report the estimate and interval; use “statistically significant” only with the criterion and “clinically important” only with a threshold.
SCI-RES-002,“Trend” without magnitude or uncertainty,results_quality,scientific_quality_risk,B,quality,medium,implemented,regex,results|abstract,"“Trend” can conceal a small, unstable, or non-monotonic estimate.","Report the slope, contrast, time points, interval, and model used to test trend."
SCI-RES-003,Interpretive language in Results,results_quality,scientific_quality_risk,C,heuristic,low,implemented,regex,results,"Explanations in Results can blur observation and interpretation, depending on journal style.",Move causal or contextual interpretation to the Discussion unless the reporting format explicitly integrates them.
SCI-RES-004,Percentage without denominator,results_quality,scientific_quality_risk,B,quality,medium,implemented,percentage_without_denominator,results|abstract,A percentage without a denominator can hide sparse data or exclusions.,Report n/N alongside the percentage at first mention and after subgroup changes.
SCI-DISC-001,Generic limitation theatre,discussion_quality,scientific_quality_risk,B,quality,medium,implemented,regex,discussion|limitations,Ritual caution is not a limitation analysis.,"Name the bias mechanism, likely direction, plausible magnitude, affected estimand, and whether any analysis addresses it."
SCI-DISC-002,Unsupported novelty claim,discussion_quality,scientific_quality_risk,B,quality,high,implemented,regex,abstract|introduction|discussion|conclusion,Priority and novelty claims require a defined comparison set and search boundary.,Specify the dimension of novelty and the literature search or benchmark supporting it.
SCI-DISC-003,Importance claim without consequence,discussion_quality,scientific_quality_risk,B,quality,medium,implemented,regex,discussion|conclusion|abstract,"Importance is a relation to a decision, mechanism, or prior estimate, not an intrinsic adjective.","State what decision changes, which prior belief is revised, or which mechanism becomes more plausible."
SCI-DISC-004,Citation laundry without synthesis,discussion_quality,scientific_quality_risk,C,heuristic,medium,semantic,semantic_check,*,"A sequence of study summaries can replace synthesis of agreement, heterogeneity, and bias.","Compare studies on population, exposure, comparator, outcome, design, effect size, and likely bias."
SCI-INT-001,Assistant-persona or prompt leakage,integrity,integrity_risk,B,integrity,critical,implemented,regex,*,Interface language or model self-reference has leaked into the manuscript.,Remove the leaked text and inspect adjacent passages for unreviewed generated content.
SCI-INT-002,Citation placeholder,integrity,integrity_risk,B,integrity,critical,implemented,regex,*,A placeholder may survive into submission and can conceal an unsupported claim.,"Insert and verify the source, or remove/qualify the claim."
SCI-INT-003,Editorial placeholder or generation residue,integrity,integrity_risk,B,integrity,high,implemented,regex,*,Unresolved drafting residue indicates incomplete editorial control.,"Resolve the instruction, verify the surrounding content, and rerun the audit."
SCI-INT-004,Numerical drift across sections,integrity,integrity_risk,B,integrity,critical,semantic,semantic_check,*,"The same outcome or sample count can change between abstract, results, tables, and discussion.",Link every headline number to a canonical result object and fail validation on unexplained divergence.
SCI-INT-005,Terminology or estimand drift,integrity,integrity_risk,B,integrity,high,semantic,semantic_check,*,"Generated or heavily edited manuscripts may silently switch population, exposure, outcome, or effect measure labels.",Define canonical terms and require section-level consistency or explicit distinction.
SCI-INT-006,Cross-section claim contradiction,integrity,integrity_risk,B,integrity,critical,semantic,semantic_check,*,"The abstract, results, and conclusion may make incompatible claims about direction or significance.","Map claims to the same outcome and contrast, then resolve contradictory direction, magnitude, or certainty."
